sdasd,qwe,weqwe,qwe,qwe,45,re,we,ew,we,we,we,34,34,345,34,34
awfaf,,t,45t,,,,,,,,,,,,,
afasc,,,,,,,,,,,,,,,,
fwf,,,,,,,,,111,,,,,,,
wf,234,,wef,45,,,345,,,,,,,,,
wef,,,,,,,,,,,,,,333,,
wef,,,,,555,,,,,,7,,,,,
wef,,34,,,,,,,,,,,,,,
wefwf,aaa,,,45,,,45t,444,,,,,,,,
wfw,bbb,,,,,,,,,,,,222,,56,
,,,,,,,,,,,,,,,,
wewq,,,,,,,,,,,,,,,,
,bbb,,,,,,,we,,45,,,,,,
,ccc,,,wf,,,,,,,,,,,,
,ddd,,,,,,,,,,,,,,,
,eee,,,,,,,,,,,,,,,
awfaf,,t,45t,,,,,,,,,,,,,
afasc,,,,,,,,,,,,,,,,
fwf,,,,,,,,,111,,,,,,,
wf,234,,wef,45,,,345,,,,,,,,,
wef,,,,,,,,,,,,,,333,,
wef,,,,,555,,,,,,7,,,,,
wef,,34,,,,,,,,,,,,,,
wefwf,aaa,,,45,,,45t,444,,,,,,,,
wfw,bbb,,,,,,,,,,,,222,,56,
,,,,,,,,,,,,,,,,
wewq,,,,,,,,,,,,,,,,
,bbb,,,,,,,we,,45,,,,,,
,ccc,,,wf,,,,,,,,,,,,
,ddd,,,,,,,,,,,,,,,
,eee,,,,,,,,,,,,,,,
awfaf,,t,45t,,,,,,,,,,,,,
afasc,,,,,,,,,,,,,,,,
fwf,,,,,,,,,111,,,,,,,
wf,234,,wef,45,,,345,,,,,,,,,
wef,,,,,,,,,,,,,,333,,
wef,,,,,555,,,,,,7,,,,,
wef,,34,,,,,,,,,,,,,,
wefwf,aaa,,,45,,,45t,444,,,,,,,,
wfw,bbb,,,,,,,,,,,,222,,56,
,,,,,,,,,,,,,,,,
wewq,,,,,,,,,,,,,,,,
,bbb,,,,,,,we,,45,,,,,,
,ccc,,,wf,,,,,,,,,,,,
,ddd,,,,,,,,,,,,,,,
,eee,,,,,,,,,,,,,,,
awfaf,,t,45t,,,,,,,,,,,,,
afasc,,,,,,,,,,,,,,,,
fwf,,,,,,,,,111,,,,,,,
wf,234,,wef,45,,,345,,,,,,,,,
wef,,,,,,,,,,,,,,333,,
wef,,,,,555,,,,,,7,,,,,
wef,,34,,,,,,,,,,,,,,
wefwf,aaa,,,45,,,45t,444,,,,,,,,
wfw,bbb,,,,,,,,,,,,222,,56,
,,,,,,,,,,,,,,,,
wewq,,,,,,,,,,,,,,,,
,bbb,,,,,,,we,,45,,,,,,
,ccc,,,wf,,,,,,,,,,,,
,ddd,,,,,,,,,,,,,,,
,eee,,,,,,,,,,,,,,,
awfaf,,t,45t,,,,,,,,,,,,,
afasc,,,,,,,,,,,,,,,,
fwf,,,,,,,,,111,,,,,,,
wf,234,,wef,45,,,345,,,,,,,,,
wef,,,,,,,,,,,,,,333,,
wef,,,,,555,,,,,,7,,,,,
wef,,34,,,,,,,,,,,,,,
wefwf,aaa,,,45,,,45t,444,,,,,,,,
wfw,bbb,,,,,,,,,,,,222,,56,
,,,,,,,,,,,,,,,,
wewq,,,,,,,,,,,,,,,,
,bbb,,,,,,,we,,45,,,,,,
,ccc,,,wf,,,,,,,,,,,,
,ddd,,,,,,,,,,,,,,,
,eee,,,,,,,,,,,,,,,
awfaf,,t,45t,,,,,,,,,,,,,
afasc,,,,,,,,,,,,,,,,
fwf,,,,,,,,,111,,,,,,,
wf,234,,wef,45,,,345,,,,,,,,,
wef,,,,,,,,,,,,,,333,,
wef,,,,,555,,,,,,7,,,,,
wef,,34,,,,,,,,,,,,,,
wefwf,aaa,,,45,,,45t,444,,,,,,,,
wfw,bbb,,,,,,,,,,,,222,,56,
,,,,,,,,,,,,,,,,
wewq,,,,,,,,,,,,,,,,
,bbb,,,,,,,we,,45,,,,,,
,ccc,,,wf,,,,,,,,,,,,
,ddd,,,,,,,,,,,,,,,
,eee,,,,,,,,,,,,,,,
awfaf,,t,45t,,,,,,,,,,,,,
afasc,,,,,,,,,,,,,,,,
fwf,,,,,,,,,111,,,,,,,
wf,234,,wef,45,,,345,,,,,,,,,
wef,,,,,,,,,,,,,,333,,
wef,,,,,555,,,,,,7,,,,,
wef,,34,,,,,,,,,,,,,,
wefwf,aaa,,,45,,,45t,444,,,,,,,,
wfw,bbb,,,,,,,,,,,doog,222,,56,
,,,,,,,,,,,,dog,,,,
wewq,,,,,,,,,,,,god,,,,
,bbb,,,,,,,we,,45,,doG,,,,
,ccc,,,wf,,,,,,,,dOg,,,,
,ddd,,,,,,,,,,,Dog,,,,
,eee,,,,,,,,,,,,,,,
